Country,State/Province/Department,Zone/Region/Provincia,City/Canton/District/Municipality/Woreda/Municipio/Commune,Area/Towns/Village/Sector/Colonia/Kebele,Farm/Fazenda/MicroMill/CWS,1
Guatemala,Santa Rosa,,Pueblo Nuevo Vinas,,,
Guatemala,Santa Rosa,,Barberena,,,
Guatemala,Sacatepequez,,Antigua,,,
Guatemala,Sacatepequez,,Ciudad Vieja,,,
Guatemala,Sacatepequez,,Jocotenango,,,
Guatemala,Sacatepequez,,Alotenango,,,
Guatemala,El Progreso,,San Agustin Acasaguastlan,,,
Guatemala,El Progreso,,San Cristobal Acasaguastlan,,,
Guatemala,Baja Verapaz,,Las Verapas,,,
Guatemala,Solola,,Solola,,,
Guatemala,Solola,,Santiago Atitlan,,,
Guatemala,Chimaltenango,,Acatenango,,,
Guatemala,Chimaltenango,,Alde La Pampa,,,
Guatemala,Chimaltenango,,San Martin Jilotepeque,,,
Guatemala,Chimaltenango,,Patzun,,,
Colombia,Norte de Santander,,Ragonvalia,,,
Colombia,Cauca,,Piendamo,,,
Colombia,Cauca,,Inza,,,
Colombia,Cauca,,Jambalo,,,
Colombia,Cauca,,Miranda,,,
Colombia,Cauca,,Caloto,,,
Colombia,Huila,,Gigante,,,
Colombia,Huila,,Acevedo,,,
Colombia,Cauca,,Popayan,,,
Colombia,Cauca,,Toribio,,,
Colombia,Narino,,Buesaco,,,
Colombia,Narino,,San Pedro de Cartago,,,
Colombia,Cauca,,Almaguer,,,
Colombia,Narino,,San Lorenzo,,,
Colombia,Cauca,,Santander,,,
Colombia,Narino,,Consaca,,,
Colombia,Narino,,El Tablon de Gomez,,,
Colombia,Narino,,Samaniego,,,
Colombia,Cauca,,Sotara,,,
Colombia,Narino,,Yacuanquer,,,
Colombia,Narino,,La Union,,,
Colombia,Norte de Santander,,Toledo,,,
Colombia,Norte de Santander,,Herran,,,
Colombia,Norte de Santander,,Bucarasica,,,
Colombia,Santander,,Aratoca,,,
Colombia,Santander,,Bucaramanga,,,
